Model,Accuracy,Precision,Recall,F1-Score
CNN,0.8913829787234042,0.8920234748227674,0.8913829787234042,0.8907766374544371
ResNet,0.9016489361702128,0.9020737058745453,0.9016489361702127,0.9013960573678814
MLP,0.8864893617021277,0.8894646545952402,0.8864893617021278,0.8850641434741884
