model_name,accuracy,precision,recall,f1
ResNet,0.9016489361702128,0.9020737058745453,0.9016489361702127,0.9013960573678814
ViT,0.893031914893617,0.8936715076455457,0.8930319148936171,0.8922760211349586
CNN,0.8913829787234042,0.8920234748227674,0.8913829787234042,0.8907766374544371
MLP,0.8864893617021277,0.8894646545952402,0.8864893617021278,0.8850641434741884
